State,Latitude,Longitude,Temperature,Humidity,Soil_Moisture,Rainfall,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Disease_Class
Kaduna,5.262195,3.404331,34.86,89.55,23.7,259.19,82.38,27.37,38.96,Nutrient Deficiency
Ogun,8.700238,6.71617,22.27,93.71,63.52,67.29,59.49,60.61,57.09,Fungal Blight
Ogun,8.839189,9.257249,36.26,89.6,11.65,187.0,34.27,16.72,69.5,Healthy
Ogun,12.068178,9.344692,35.56,47.01,36.28,80.74,80.76,41.33,77.42,Fungal Blight
Benue,6.491148,7.100428,28.36,85.3,17.75,207.18,,,32.13,Viral Mosaic
Benue,7.928921,,33.4,62.54,34.67,317.97,,74.7,38.96,Nutrient Deficiency
Enugu,11.775652,14.103456,31.15,94.49,,237.96,64.92,54.11,37.75,Nutrient Deficiency
Ogun,11.912612,7.339507,34.46,65.98,36.13,203.49,25.3,77.6,42.65,Healthy
Kaduna,7.9615,5.969608,27.77,70.46,39.23,97.66,91.46,56.38,99.97,Nutrient Deficiency
Enugu,8.632116,5.799871,34.14,69.14,31.04,,28.06,17.78,80.01,Fungal Blight
Ogun,7.229573,8.264293,28.32,57.7,55.96,90.06,,76.18,97.75,Healthy
Benue,12.892994,11.734482,36.94,44.13,,373.0,10.66,84.99,,Healthy
,5.567794,5.368864,28.75,89.26,38.04,104.1,33.71,91.32,46.56,Fungal Blight
Kebbi,12.903745,11.156905,28.33,84.15,,288.15,27.99,61.48,,Healthy
Kaduna,10.654798,3.243223,34.13,47.67,28.95,187.1,11.26,77.82,53.97,Healthy
Kaduna,9.284149,7.817729,34.79,82.72,69.78,140.39,75.91,77.68,47.52,Viral Mosaic
Ogun,4.793932,11.922448,29.98,74.42,50.01,305.79,72.41,24.02,84.55,Healthy
Enugu,8.780366,6.895429,23.24,62.5,41.85,232.8,81.31,24.78,,Healthy
,8.169733,9.482977,28.42,102.9,20.47,210.06,33.1,16.38,36.61,Fungal Blight
Benue,,5.357261,37.43,87.29,41.48,287.14,49.99,38.79,79.74,Bacterial Wilt
Enugu,10.407686,11.532947,33.55,78.51,29.49,246.51,,52.62,86.9,Viral Mosaic
Benue,13.240358,3.60121,,70.13,76.02,171.39,49.58,,47.84,Fungal Blight
Kaduna,9.559699,12.80424,,73.53,71.88,273.62,72.76,48.79,70.1,Fungal Blight
Cross River,10.932779,5.279258,28.42,45.01,15.87,317.8,67.06,75.36,15.29,Healthy
Kebbi,5.116054,13.055577,31.64,66.07,46.17,60.68,20.32,72.41,,Viral Mosaic
Kebbi,8.259003,7.054086,34.94,50.65,,236.35,,28.4,14.05,Bacterial Wilt
Benue,,,20.89,51.46,,73.07,74.86,15.27,,Bacterial Wilt
Kebbi,10.015163,6.671091,35.34,76.37,71.38,124.56,69.03,59.14,65.16,Fungal Blight
,12.946339,13.417984,29.87,90.12,46.93,274.2,23.96,,37.3,Bacterial Wilt
Kebbi,10.456,4.456327,,62.21,33.4,396.48,34.12,99.84,76.83,Healthy
Kaduna,5.191227,5.052978,25.71,51.43,24.55,403.12,45.39,42.27,90.65,Viral Mosaic
Cross River,7.691996,8.669846,25.07,75.68,66.02,77.98,35.19,90.67,22.55,Nutrient Deficiency
Cross River,9.45597,3.942292,29.56,87.92,53.72,217.64,30.5,44.37,,Healthy
Cross River,8.12887,5.253772,20.93,81.16,42.76,283.2,82.48,72.05,56.31,Fungal Blight
Enugu,,13.853313,22.85,87.78,,108.83,67.44,63.84,20.09,Healthy
Cross River,11.832039,14.229631,34.63,69.51,33.4,356.17,60.89,14.77,68.64,Viral Mosaic
Enugu,10.006479,7.326982,22.39,81.35,77.19,347.69,30.34,17.05,64.85,Fungal Blight
Enugu,7.861122,13.617789,24.2,47.7,46.41,411.34,,11.87,56.41,Bacterial Wilt
,6.798027,9.265484,28.16,59.16,38.05,53.39,27.21,43.38,93.38,Viral Mosaic
Ogun,5.452869,6.102038,29.31,61.43,46.5,136.67,81.55,77.12,56.9,Healthy
Enugu,7.694079,11.077585,33.74,68.12,64.53,380.87,97.0,25.55,99.15,Nutrient Deficiency
Kaduna,8.218553,10.577371,28.05,91.1,33.81,318.23,75.44,64.53,55.83,Healthy
Cross River,10.582406,14.374941,34.22,88.09,,407.76,99.36,,20.43,Nutrient Deficiency
Enugu,10.423438,6.048044,31.13,47.4,50.95,72.87,68.59,81.73,52.34,Healthy
Kaduna,5.130973,10.728684,22.04,49.5,56.56,288.79,29.57,81.86,26.41,Healthy
Kaduna,8.057334,3.598273,22.81,59.67,59.89,277.62,28.34,79.79,63.74,Nutrient Deficiency
Benue,6.13601,,27.87,55.99,71.74,64.27,39.21,57.24,72.38,Viral Mosaic
Kaduna,5.911314,3.045061,27.14,73.81,35.98,255.41,10.64,35.61,52.16,Fungal Blight
Enugu,11.945719,14.493798,33.38,89.65,15.27,293.81,,82.85,18.79,Fungal Blight
,4.877237,12.226148,30.45,92.93,77.08,126.52,34.18,26.75,52.18,Viral Mosaic
Kebbi,8.272646,12.047315,26.99,75.95,40.45,159.33,83.37,36.08,17.33,Fungal Blight
Enugu,6.013833,8.86185,23.07,,53.63,306.14,42.33,26.56,71.39,Bacterial Wilt
Ogun,12.413972,6.450771,24.08,68.89,56.64,237.32,53.2,70.68,81.13,Healthy
Kebbi,9.513365,4.739539,30.36,51.46,48.26,393.21,96.91,71.76,96.61,Healthy
Enugu,6.582426,6.273759,27.62,,24.37,186.95,31.8,68.73,23.39,Nutrient Deficiency
Cross River,9.021846,7.323669,29.27,70.53,62.86,156.66,74.91,47.4,57.92,Nutrient Deficiency
Ogun,11.083377,11.697566,23.07,80.84,66.26,443.95,77.96,19.02,61.08,Viral Mosaic
Enugu,,9.206111,31.93,52.09,48.71,414.45,29.89,92.01,93.02,Healthy
Kaduna,6.484014,3.891062,35.35,60.26,44.2,61.6,55.09,55.7,66.45,Healthy
Benue,12.475636,3.207334,24.64,60.02,17.98,358.29,41.52,46.63,23.1,Fungal Blight
Ogun,12.908737,4.17682,28.85,92.77,15.88,94.13,79.47,62.99,49.27,Viral Mosaic
Kaduna,12.747785,7.720735,37.56,64.42,33.77,60.99,66.02,27.35,68.93,Fungal Blight
,10.218729,13.731719,26.0,,31.76,159.48,52.84,21.93,73.03,Fungal Blight
Enugu,10.168386,10.330129,30.71,81.29,76.76,157.74,80.14,46.5,87.68,Healthy
Kebbi,8.128896,12.220998,21.62,54.6,64.85,377.73,31.16,30.45,26.25,Bacterial Wilt
Ogun,11.271581,8.363308,30.91,71.45,56.19,334.27,77.83,,95.64,Fungal Blight
Kaduna,9.281646,7.15916,,89.19,46.24,442.64,87.88,90.33,15.32,Nutrient Deficiency
Enugu,,4.246604,37.27,66.14,21.72,334.61,89.08,57.77,98.54,Healthy
Kebbi,8.356121,13.07323,32.88,91.98,78.49,217.3,80.53,53.51,87.2,Viral Mosaic
Ogun,11.083468,12.00634,34.19,51.8,36.25,329.57,46.72,72.05,69.42,Fungal Blight
Enugu,11.920244,4.933358,32.67,44.08,17.48,449.78,98.36,95.64,76.15,Viral Mosaic
Kaduna,5.817926,8.890996,30.62,89.03,,334.06,44.16,20.1,16.54,Bacterial Wilt
Kebbi,11.996367,8.60481,28.1,86.62,71.18,354.67,67.48,85.02,,Nutrient Deficiency
Cross River,9.362669,10.188553,35.45,94.59,72.11,425.35,24.5,62.56,19.16,Healthy
Ogun,12.101993,13.881149,37.22,77.37,10.77,95.46,98.24,23.15,17.86,Viral Mosaic
Kaduna,8.381715,9.667372,28.98,91.52,,331.91,73.36,36.74,59.26,Fungal Blight
Enugu,7.911364,9.212499,36.77,,29.0,390.32,77.8,53.41,29.39,Fungal Blight
Kaduna,,3.578714,30.5,86.44,12.73,431.75,15.92,72.21,87.42,Healthy
Kaduna,6.760523,3.723436,29.69,71.3,,,,31.83,50.12,Viral Mosaic
Kebbi,,5.154488,28.18,61.03,70.47,251.57,79.73,58.14,72.6,Healthy
Kaduna,8.856185,3.373414,23.77,91.4,51.74,322.22,70.46,71.62,68.76,Healthy
Kaduna,9.126859,11.548558,20.07,63.77,50.21,148.99,36.27,50.39,38.79,Healthy
Enugu,,11.318298,24.35,69.64,66.92,290.19,54.07,87.67,,Bacterial Wilt
Ogun,9.65738,4.564647,29.18,64.54,65.04,153.03,19.94,88.25,40.82,Fungal Blight
Benue,7.426901,12.614907,26.84,71.07,72.31,183.38,52.44,52.36,81.7,Viral Mosaic
Cross River,4.853425,4.780039,28.07,65.88,48.69,226.61,31.94,97.56,62.76,Healthy
Ogun,6.947987,6.463519,37.65,42.64,77.74,261.68,41.42,16.8,32.82,Bacterial Wilt
Enugu,4.557411,5.863234,26.3,88.51,79.73,229.75,,10.3,83.61,Healthy
Kaduna,13.305193,7.281532,28.14,64.44,18.16,247.28,30.7,44.26,14.93,Fungal Blight
Benue,13.191725,5.928633,22.4,72.39,69.47,169.44,16.89,64.1,72.93,Bacterial Wilt
,8.056398,8.622936,,47.66,44.99,113.59,92.79,66.63,49.52,Healthy
Benue,11.055338,7.685191,33.96,40.19,37.13,68.94,57.74,52.88,75.82,Healthy
Cross River,7.612255,14.345549,30.27,53.49,52.92,128.39,45.71,,93.47,Viral Mosaic
Kebbi,10.539838,3.643153,33.69,78.75,13.92,,58.15,25.34,77.5,Healthy
Cross River,11.74887,,22.7,45.46,45.45,364.45,66.55,86.69,49.78,Healthy
Enugu,13.020806,,30.29,89.99,70.96,117.7,,88.11,23.59,Healthy
Kebbi,8.10191,10.197174,24.57,51.83,,93.42,26.08,70.65,82.57,Nutrient Deficiency
Ogun,11.549682,3.626857,24.11,51.25,39.85,349.72,36.6,69.78,51.46,Nutrient Deficiency
Benue,,12.619057,20.21,49.98,75.76,172.06,97.82,63.79,16.78,Healthy
Kaduna,13.412991,8.887294,,40.77,40.0,430.6,43.41,28.26,74.71,Healthy
Ogun,4.731926,9.060588,25.57,82.45,,335.73,12.03,48.54,36.27,Viral Mosaic
Kaduna,9.931759,9.458337,22.1,88.13,40.84,,,72.63,14.4,Healthy
Kebbi,10.435554,4.964358,37.75,73.78,46.36,165.82,12.37,58.35,91.25,Fungal Blight
Cross River,10.69241,5.273438,25.56,50.35,54.24,259.48,99.09,11.67,53.48,Viral Mosaic
Enugu,5.583488,6.666399,22.35,55.69,66.05,81.66,35.1,95.82,35.29,Healthy
Cross River,12.946768,9.825209,23.58,66.18,41.65,97.07,93.12,,74.47,Fungal Blight
Cross River,6.13065,5.416354,30.58,92.49,67.22,120.34,99.63,33.45,89.73,Fungal Blight
Cross River,10.104781,4.337815,21.15,53.6,47.36,359.89,63.99,65.48,10.03,Viral Mosaic
Kaduna,6.504085,14.156344,35.52,80.24,33.69,255.54,12.99,93.09,71.91,Viral Mosaic
Benue,7.264948,3.252791,37.31,64.17,56.06,54.23,17.34,18.64,79.03,Bacterial Wilt
Benue,,12.23102,24.44,56.38,60.24,319.41,53.34,55.27,28.89,Fungal Blight
Kebbi,8.254741,12.062404,28.1,65.08,49.06,219.48,46.56,51.06,54.07,Fungal Blight
Kebbi,5.94203,6.417962,20.4,43.92,13.96,254.34,64.56,46.92,18.04,Fungal Blight
Ogun,6.038428,4.559706,31.53,83.93,,135.65,49.5,85.2,77.21,Nutrient Deficiency
,8.263303,4.674729,27.45,53.38,29.97,270.71,94.07,44.26,86.27,Fungal Blight
Enugu,11.315547,11.020464,24.86,79.9,29.78,441.66,58.13,15.73,19.74,Healthy
Enugu,12.581682,10.392276,23.72,43.76,57.14,,72.44,15.93,83.48,Nutrient Deficiency
Kaduna,5.257149,12.001575,31.77,92.53,11.28,163.57,90.68,13.85,79.44,Viral Mosaic
Cross River,8.037935,13.781033,27.49,50.62,62.9,147.2,23.22,46.82,41.22,Fungal Blight
Benue,5.40221,10.957165,23.23,88.55,28.57,149.42,30.68,74.66,72.13,Healthy
Kaduna,4.649332,4.792293,32.4,84.52,31.7,201.48,19.66,,10.0,Fungal Blight
Kaduna,10.455468,5.79959,30.17,93.23,46.95,377.24,22.57,68.18,93.86,Healthy
Ogun,9.922045,12.685228,35.46,66.28,25.11,415.14,56.13,,59.53,Bacterial Wilt
Cross River,5.967172,5.40702,22.11,80.01,71.91,130.89,38.91,32.97,65.83,Bacterial Wilt
Ogun,6.604315,3.834007,34.14,60.39,15.98,267.18,48.09,64.05,69.82,Fungal Blight
Cross River,4.71337,11.087721,32.12,50.14,,304.76,98.42,71.64,60.52,Viral Mosaic
Enugu,12.014525,7.629053,22.07,64.37,69.46,258.73,,52.0,87.11,Fungal Blight
,13.272215,13.580461,32.51,,53.11,223.63,58.67,40.3,64.87,Fungal Blight
Kebbi,5.719136,10.477933,27.95,94.01,30.46,,18.9,65.72,91.7,Viral Mosaic
,6.583277,4.039818,37.01,45.29,39.45,245.29,38.66,98.01,62.41,Healthy
Ogun,12.315686,13.900351,22.55,72.41,59.47,210.49,,48.42,25.4,Nutrient Deficiency
Enugu,12.838174,5.973409,31.57,74.46,78.13,368.23,95.2,45.26,92.22,Fungal Blight
Kaduna,8.276646,6.877944,,69.59,72.52,355.44,45.21,51.78,71.35,Bacterial Wilt
Kaduna,4.955602,7.625995,37.22,76.42,33.97,103.6,15.84,16.86,72.93,Fungal Blight
Kaduna,4.854527,3.589079,25.94,46.39,79.87,,44.93,59.78,98.69,Nutrient Deficiency
Enugu,9.665549,,37.32,70.53,10.25,413.26,23.12,39.58,16.77,Healthy
Kaduna,8.036056,4.418163,36.23,55.8,11.93,264.2,30.7,20.93,48.57,Fungal Blight
Enugu,,7.611159,24.87,91.71,67.67,393.12,65.63,51.96,31.52,Nutrient Deficiency
Kaduna,9.749272,7.033163,34.46,81.91,23.96,73.26,16.07,10.3,66.74,Fungal Blight
Enugu,4.601723,11.887661,37.92,93.49,14.25,260.61,51.83,,82.61,Fungal Blight
Kaduna,11.586348,12.236461,24.55,42.07,26.6,265.77,64.85,,96.97,Nutrient Deficiency
Benue,,4.764248,27.86,55.68,39.83,394.28,47.97,12.19,50.91,Bacterial Wilt
Kaduna,4.862322,7.215339,29.36,50.75,61.14,89.04,11.72,84.2,80.76,Viral Mosaic
Ogun,9.79517,7.293561,25.31,40.61,53.7,146.18,98.7,92.46,92.53,Fungal Blight
,8.07916,4.74122,20.27,53.33,26.63,212.62,43.04,28.69,71.5,Bacterial Wilt
Cross River,13.264204,12.182215,,77.33,45.23,396.34,80.07,58.54,31.85,Healthy
Kebbi,9.397788,11.133126,25.07,52.71,74.83,,39.31,35.02,64.71,Healthy
Kebbi,6.977153,5.189391,27.98,68.0,67.05,447.09,52.75,54.42,97.3,Nutrient Deficiency
Kaduna,,7.217302,23.08,88.83,32.62,433.68,44.96,49.3,98.88,Viral Mosaic
Enugu,6.943428,4.216758,35.72,78.16,,,40.83,34.21,,Fungal Blight
Enugu,12.63819,10.224376,32.69,61.7,59.6,69.08,11.97,73.04,89.83,Bacterial Wilt
Ogun,7.872498,4.395777,21.53,60.49,14.37,109.04,42.4,21.38,28.03,Fungal Blight
Kaduna,9.448817,14.338243,,,12.46,189.54,90.05,14.78,32.15,Healthy
Benue,4.955158,11.977844,31.77,49.74,21.79,381.97,72.14,79.09,95.76,Healthy
Benue,8.335091,7.487743,37.21,74.87,60.95,407.06,23.09,69.93,22.17,Healthy
,11.991272,9.653485,20.05,60.03,22.86,124.73,,,27.2,Viral Mosaic
Enugu,11.750839,13.480431,24.46,86.88,45.8,297.87,90.3,52.1,47.85,Viral Mosaic
Enugu,,9.372142,36.7,81.61,16.53,,73.0,54.77,63.06,Fungal Blight
Kebbi,6.534712,5.006733,36.78,73.58,74.46,235.49,23.38,49.33,64.34,Healthy
Benue,11.855748,7.355089,32.97,60.03,34.08,91.42,88.1,45.36,36.28,Fungal Blight
Ogun,12.873586,12.696166,33.78,51.55,73.57,233.13,37.14,54.97,92.86,Fungal Blight
Enugu,5.358248,10.40845,21.65,82.69,76.14,200.32,50.87,57.57,92.36,Bacterial Wilt
Benue,8.550528,10.48333,,66.75,10.43,281.06,57.35,72.27,45.29,Bacterial Wilt
Cross River,7.537089,12.968447,24.17,52.36,42.49,225.46,86.55,74.01,49.09,Healthy
Ogun,12.336196,13.28069,23.26,50.73,11.73,56.94,93.84,43.99,73.22,Fungal Blight
Ogun,5.251724,13.577615,34.59,49.1,73.61,447.6,93.67,47.22,69.67,Healthy
Ogun,6.400133,,,82.74,46.29,,,43.63,,Bacterial Wilt
Cross River,11.272215,9.257449,28.44,52.59,15.25,239.45,92.97,58.29,47.28,Healthy
Kebbi,,11.515859,,68.97,17.72,431.85,14.89,50.8,41.32,Nutrient Deficiency
Benue,8.932818,11.704659,23.34,64.84,36.85,112.34,33.92,90.06,,Healthy
Benue,8.478963,9.977236,,71.88,75.82,125.7,56.35,72.67,51.23,Fungal Blight
Kebbi,7.509611,4.918054,37.9,88.24,58.5,373.21,53.19,90.88,71.78,Healthy
Enugu,8.051151,12.170336,30.0,87.73,70.73,154.33,64.42,73.82,76.78,Healthy
Kebbi,9.269465,11.28128,23.06,64.81,35.65,369.69,53.15,97.39,80.1,Viral Mosaic
Kaduna,5.952306,3.990561,25.69,40.85,13.02,158.61,94.09,67.22,43.73,Healthy
Cross River,9.647963,8.333813,27.64,63.45,78.2,63.28,31.65,96.72,,Healthy
Ogun,11.748891,5.00074,25.57,73.34,11.2,,,24.24,10.59,Viral Mosaic
Ogun,11.341448,6.880986,25.05,70.68,76.34,128.67,92.87,14.72,52.93,Fungal Blight
Kebbi,5.885099,3.207933,37.5,75.82,35.81,353.14,16.91,62.12,81.45,Healthy
Kebbi,5.843245,7.603793,22.76,,10.71,306.48,64.86,98.51,66.7,Fungal Blight
Kaduna,6.913569,9.323585,33.2,75.56,58.24,419.44,,47.58,52.67,Fungal Blight
Kebbi,7.749673,10.1252,20.01,50.05,78.64,363.2,55.5,29.08,68.02,Fungal Blight
Kebbi,8.1761,10.630139,30.73,81.28,77.59,122.31,72.48,56.94,91.63,Nutrient Deficiency
Kebbi,10.617275,12.61735,36.49,58.65,21.27,370.06,25.55,68.39,60.97,Healthy
Kaduna,5.010124,5.477823,25.18,79.04,22.69,306.69,86.74,,81.98,Healthy
Enugu,4.812054,4.385541,23.34,42.63,49.59,317.58,22.6,74.33,98.27,Healthy
Ogun,8.027195,12.792677,31.73,62.43,54.61,382.91,46.07,,73.5,Healthy
Enugu,10.774473,4.801047,32.83,78.78,61.76,279.53,16.77,90.73,61.6,Fungal Blight
Kaduna,6.240918,14.209741,32.38,52.48,22.67,236.4,59.07,36.24,13.37,Fungal Blight
Kebbi,10.27354,12.68919,,83.74,77.13,304.66,70.28,39.41,43.7,Healthy
Enugu,6.838453,8.760081,24.54,74.69,54.71,169.18,94.71,43.44,60.89,Healthy
Cross River,12.474775,14.286346,37.21,72.32,69.29,123.04,76.54,45.51,81.75,Bacterial Wilt
,12.561209,4.119832,36.62,59.45,47.8,296.64,58.7,19.03,49.43,Bacterial Wilt
Cross River,7.175585,6.485256,28.23,66.53,39.0,143.54,93.94,78.58,96.41,Fungal Blight
Cross River,6.569944,10.339581,35.23,,78.4,81.97,53.06,42.88,34.46,Healthy
,8.201736,7.025079,28.14,65.99,50.75,50.22,60.51,89.18,77.01,Nutrient Deficiency
Kebbi,6.664784,,27.64,78.41,70.68,293.33,,93.42,47.71,Fungal Blight
Benue,10.551455,3.7547,22.82,63.85,76.73,194.86,46.9,12.2,53.74,Healthy
,11.934582,9.318236,27.68,51.13,57.27,,85.46,98.97,82.23,Nutrient Deficiency
Cross River,10.557829,,29.67,51.77,48.43,200.07,26.67,73.9,36.66,Fungal Blight
Benue,11.919154,10.506373,20.41,40.32,10.25,244.4,59.94,56.84,18.71,Viral Mosaic
Cross River,8.072929,5.940162,27.99,56.55,12.8,212.83,75.0,45.06,56.82,Healthy
Enugu,5.906853,7.192514,34.06,81.19,24.06,310.23,91.36,56.67,57.59,Bacterial Wilt
Enugu,11.141559,12.702326,32.24,83.68,23.02,192.46,89.55,39.22,81.75,Healthy
Enugu,,5.241842,31.43,51.14,27.83,,55.79,66.04,97.15,Fungal Blight
Kebbi,10.541437,12.50898,36.37,92.75,31.35,424.46,67.88,18.37,14.98,Fungal Blight
,6.935795,9.470537,,,35.2,389.21,45.48,65.9,63.25,Healthy
Enugu,5.231067,11.765156,30.03,90.43,39.44,418.12,52.14,34.78,71.32,Bacterial Wilt
Cross River,13.433236,11.206485,34.17,,16.92,229.66,91.56,,98.72,Fungal Blight
Benue,5.905814,5.386382,29.74,79.73,12.97,264.57,93.76,59.74,94.83,Healthy
Kebbi,13.395789,9.541346,25.83,44.68,57.18,346.84,90.59,62.06,74.12,Healthy
Ogun,13.295519,12.978816,22.45,52.1,,328.46,22.45,48.39,56.96,Fungal Blight
Ogun,11.644363,,53.47,40.48,41.09,406.27,86.51,16.51,24.54,Fungal Blight
Kebbi,10.434807,14.115794,28.47,79.39,54.41,336.53,95.35,90.4,44.58,Healthy
,9.700263,8.200474,35.81,58.94,67.94,449.15,42.51,65.03,62.66,Healthy
Benue,12.294914,4.642035,30.55,83.27,,189.4,56.68,20.41,75.27,Healthy
Ogun,7.104956,7.478499,32.14,58.64,54.88,383.2,80.12,55.98,67.19,Healthy
Kebbi,8.709131,13.944578,34.48,85.06,76.75,329.05,60.59,54.75,74.27,Fungal Blight
Benue,10.07451,6.67679,31.86,47.19,68.77,326.55,99.41,15.44,48.62,Healthy
,8.200714,12.983129,27.16,49.54,39.82,180.33,51.01,64.62,75.49,Healthy
Kaduna,,13.134383,29.25,58.75,55.13,364.24,74.25,82.75,22.94,Nutrient Deficiency
Kaduna,7.472562,7.027145,34.45,62.47,22.39,410.15,81.33,77.41,24.63,Fungal Blight
Kebbi,9.578086,3.957463,26.73,59.18,49.24,137.42,54.47,28.27,24.65,Fungal Blight
Ogun,12.155171,11.332416,26.99,82.0,78.69,300.2,87.13,87.61,90.18,Healthy
Ogun,6.313755,6.582391,21.72,,,206.85,59.15,40.83,16.84,Healthy
Benue,12.909897,12.003622,36.46,59.32,74.93,445.82,47.05,95.19,82.14,Healthy
Kaduna,10.701789,8.090531,21.64,86.05,38.51,241.53,19.7,16.46,31.02,Viral Mosaic
Kaduna,11.909459,8.580568,31.67,43.67,79.92,141.33,45.41,53.76,52.16,Fungal Blight
Benue,9.505716,11.945958,27.44,91.83,50.55,202.74,76.05,,92.44,Fungal Blight
Enugu,11.51565,7.397178,27.3,94.25,12.96,311.54,92.92,32.29,62.73,Viral Mosaic
Cross River,4.645804,8.095964,32.23,44.87,51.07,80.44,32.65,79.42,28.91,Healthy
Ogun,11.865424,7.32619,21.21,56.02,29.22,,41.97,66.42,35.57,Healthy
Cross River,4.86125,7.224416,30.69,,12.27,422.49,23.86,11.63,92.84,Viral Mosaic
Benue,12.50922,9.048386,33.9,82.7,67.46,,72.17,64.75,48.44,Healthy
Kaduna,13.427665,12.301194,34.91,72.78,29.3,77.07,96.42,54.23,62.83,Healthy
Benue,7.146607,7.160336,23.07,,65.76,447.36,67.69,27.64,51.39,Fungal Blight
Benue,6.392867,9.028929,36.15,81.66,30.18,329.49,65.54,99.62,44.06,Viral Mosaic
Ogun,11.38827,10.713364,31.81,46.49,23.6,114.91,59.81,,30.1,Viral Mosaic
Benue,6.777237,6.098554,35.87,85.83,78.18,54.97,17.96,36.33,71.76,Fungal Blight
,12.290061,6.191512,28.74,78.81,35.32,118.51,75.66,58.7,,Fungal Blight
Enugu,5.425583,13.734251,29.76,71.75,52.1,385.27,64.18,38.49,34.74,Healthy
Enugu,5.633597,11.320648,36.54,88.94,,,69.53,79.79,81.01,Healthy
Cross River,13.312364,9.637647,36.2,78.52,,143.26,90.89,93.73,86.91,Nutrient Deficiency
Enugu,10.56455,10.448781,28.07,51.09,74.03,352.92,80.56,42.29,92.86,Healthy
Kebbi,12.121985,3.336944,24.94,63.64,57.21,284.44,80.28,82.5,24.51,Viral Mosaic
,7.418964,10.108184,27.08,67.17,38.26,363.09,93.45,54.86,37.35,Viral Mosaic
Kebbi,10.588354,8.859352,26.98,43.04,70.37,348.46,99.09,45.69,87.43,Nutrient Deficiency
Benue,9.848176,9.276121,25.16,,,70.24,,94.46,27.87,Healthy
Cross River,9.928351,7.133374,24.83,47.07,48.1,407.0,19.8,55.94,10.31,Healthy
Kaduna,,3.93695,35.5,78.36,76.54,140.81,51.32,52.07,88.37,Bacterial Wilt
Ogun,9.678233,5.223401,21.26,67.84,53.78,271.36,80.88,70.52,39.38,Bacterial Wilt
Ogun,8.361561,13.933564,32.2,41.41,67.19,307.72,12.5,33.51,47.3,Healthy
Benue,,7.700045,23.11,90.86,55.75,117.45,15.12,39.23,50.17,Fungal Blight
Enugu,11.417232,8.366856,26.2,86.85,68.76,440.49,16.04,93.88,86.34,Healthy
Kebbi,6.536452,3.606163,21.11,,76.11,245.26,75.79,71.07,40.41,Bacterial Wilt
Enugu,,3.432012,24.86,52.59,29.1,73.06,55.1,84.4,,Bacterial Wilt
Ogun,6.599995,11.247587,33.83,46.69,21.88,424.9,43.2,34.4,65.52,Viral Mosaic
Kebbi,10.127972,9.188089,35.93,,43.88,,19.51,58.94,57.46,Viral Mosaic
Cross River,11.223704,8.850119,23.99,54.05,59.13,329.68,75.9,97.43,39.31,Nutrient Deficiency
Enugu,6.468425,5.795932,28.34,67.87,25.9,260.07,,38.68,31.93,Fungal Blight
Cross River,5.03949,11.564633,28.47,93.15,10.29,383.9,33.88,24.44,66.17,Viral Mosaic
Kebbi,5.678764,4.934721,35.72,71.62,34.01,63.25,68.71,55.98,50.22,Bacterial Wilt
Kebbi,9.953973,5.18425,33.73,88.95,77.82,157.35,60.31,44.9,91.95,Fungal Blight
Benue,12.145018,8.29819,29.24,75.8,58.65,237.86,,24.36,54.25,Healthy
Kaduna,4.904971,6.292218,,66.14,38.09,80.64,67.73,89.97,56.06,Fungal Blight
Enugu,11.107361,5.845824,35.25,87.0,,332.36,34.41,99.17,47.51,Nutrient Deficiency
Enugu,7.571868,10.420233,20.17,,34.93,207.47,81.53,61.17,81.03,Viral Mosaic
Benue,8.806755,,27.25,87.77,21.89,159.07,30.64,79.72,48.24,Viral Mosaic
Kebbi,,12.481946,36.33,56.04,17.44,51.35,24.3,87.31,34.24,Fungal Blight
Enugu,7.487744,7.803649,33.33,47.08,73.47,337.93,80.42,73.09,87.58,Bacterial Wilt
Ogun,8.688032,,29.77,87.04,79.84,383.52,73.71,13.97,63.71,Fungal Blight
Benue,4.623142,6.147163,29.53,72.31,21.49,,26.44,24.19,63.24,Fungal Blight
Cross River,5.234388,14.270063,26.26,88.9,13.82,275.69,20.46,16.39,64.97,Fungal Blight
Kebbi,6.827324,9.856974,29.37,91.58,33.08,141.07,85.46,10.89,74.7,Healthy
Enugu,4.75067,11.161976,31.8,42.95,42.32,298.88,79.89,37.54,38.18,Fungal Blight
Enugu,10.182378,3.084615,27.53,67.55,24.34,54.85,39.45,45.31,13.05,Healthy
,8.337585,8.959366,32.85,60.62,31.1,245.46,69.24,31.69,82.95,Bacterial Wilt
Cross River,9.433307,3.43158,35.5,74.42,24.06,307.68,21.17,15.81,21.6,Healthy
Cross River,,9.546147,22.78,83.65,64.2,,55.63,57.69,74.96,Fungal Blight
Ogun,7.163388,13.588865,28.13,55.43,59.88,202.53,11.69,34.6,17.41,Fungal Blight
Ogun,10.47442,14.13682,27.34,70.62,54.45,356.08,45.24,81.64,,Fungal Blight
,13.187725,9.216356,32.37,78.98,37.11,289.07,,10.72,15.67,Healthy
Kaduna,4.953751,8.269355,24.5,47.39,73.63,420.8,52.76,85.83,57.0,Fungal Blight
Benue,12.513459,13.867697,31.52,84.77,77.87,209.35,47.95,95.93,68.78,Healthy
Enugu,9.691931,10.746513,35.79,73.34,22.15,177.64,49.99,74.45,25.43,Nutrient Deficiency
